id,trigger,conditions,script,text,options,notes
# SHI fleet greeting lines,,,,,,
greetingSHINeutral,OpenCommLink,"$faction.id == shadow_industry
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Got you on scan, Captain and are monitoring you.  Keep your distance.""",,
greetingSHIHostileWeaker,OpenCommLink,"$faction.id == shadow_industry
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"The Yardie $personRank does a fairly admirable job of keeping their voice from trembling as $heOrShe warns, ""Whatever happens next, just know we won't forget it.""
OR
The message is perfunctory. ""Damn you.""  Further hails go unanswered.",cutCommLink:Cut the comm link,
greetingSHIHostileStronger,OpenCommLink,"$faction.id == shadow_industry
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"Cooly regarding you, the Yardie $personRank gives a wolfish grin.  ""Seems you've a fight on your hands, Captain.""
OR
""Time for this game to end.""",cutCommLink:Cut the comm link,
greetingSHIFriendly,OpenCommLink,"$faction.id == shadow_industry
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""We've got your signal, recognition looks good.  Looks like things are going well on your end $playerName.  Clear skies.""
OR
Unconcerned, sedate activity ensues as codes are checked and verified; the watch officer gives a jaunty salute.

""Beacon checks out, you're clear to proceed comrade; burn bright out there!""
OR
The SRA fleets communique is preceded by a markedly friendly sounding electronic chirp. ""Secure codes check out; the cooperative authority sends their regards, Captain.""",,
greetingSHIHostileWeakerDefiant,OpenCommLink,"$faction.id == shadow_industry
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The Yardie $personRank meets your gaze levelly for a few moments, before simply nodding curtly in acknowledgement and signaling $hisOrHer crew to their stations.  The comms signal cuts out a moment later.
OR
The SRA fleet meets your call with bravado, though you're unsure if the person on the other end is the fleet leader. 

""Hoping for our surrender then, are you? Piss off, we're tougher than you think you damn running dog!"" The message is accompanied by a particularly rude gesture.",cutCommLink:Cut the comm link,
,,,,,,
# Trade panel flavor text,,,,,,
flavorTextMarketLumen,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == shadow_industry
$market.id == lumen","AddText ""Lumen's small docking facilities echo with the boisterous noise of the dock crew, as a small number of merchants haggle in front of the tiny commodities exchange office.  Deeper in you can see coloful banners advertising a number of locally brewed drinks, an abiding passion of the locals."" textGrayColor",,,
flavorTextMarketAuris,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates
$market.id == auris_grip","AddText ""Pirate crews carouse loudly as various captains of less than legal status strut throughout the Port Concourse or haggle energetically with the flunkies of the pirate currently in charge over their stolen goods. The entire place is thick with rogues, drawn in by the promise of easy pickings."" textGrayColor",,,
flavorTextMarketTheramin,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == shadow_industry
$market.id == theramin","AddText ""The monolithic presence of one of the Domain's ancient radiation absorbers looms over the Concourse, even at some tens of kilometers away, its tip lost in the leaden sky.  Traders meander here and there, meeting with the exotic looking locals while ignoring the steady drizzle."" textGrayColor",,,
