name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Enhanced Ejector System,ms_enjector,1,,Shadowyards,special,,1000,,TRUE,TRUE,0,0,0,0,data.hullmods.MS_enjector,"Nearly universal on shadowyards fighters, this ejection system provides additional crew protection through strategically placed buffer plates and a somewhat improved auto-ejector, increasing crew survival rates by %s.",Increases fighter crew survival rates by %s.,graphics/shi/hullmods/ms_enjector.png
Marine Command Relay,ms_marcom,1,,Shadowyards,special,,3000,,TRUE,,0,0,0,0,data.hullmods.MS_marcom,"Advanced C3I systems, specialized equipment and drone systems designed for combat insertions. Increases the effectiveness of planetary raids by %s, up to the total number of marines in the fleet.",Increases marine effectiveness by %s.,graphics/shi/hullmods/ms_marcom.png
Harmonic Shield Conduits,ms_harShields,2,,Shadowyards,"special, defensive",,,,TRUE,,0,0,0,0,data.hullmods.MS_harShields,Specialized gravitic conduits which increase passive Flux Dissipation. The amount is dependent on the ships current proportion of hard flux compared to its maximum on a curve that approaches %s/%s/%s/%s-percent depending on hull size. This gain falls off sharply after approximately 60%% hard flux.,Improves flux dissipation as hard flux rises.,graphics/shi/hullmods/ms_harShields.png
Pandora Type Sensor System,ms_elySensors,1,,Shadowyards,special,,4000,,TRUE,,0,0,0,0,data.hullmods.MS_elySensors,"High powered sensor array, providing af %s%% greater detection range in combat, and a %s%% larger strategic detection range.",Improves sensor range.,graphics/shi/hullmods/ms_elySensors.png
Science Ship,ms_scienceShip,1,,Shadowyards,special,,,,TRUE,,0,0,0,0,data.hullmods.MS_scienceShip,"While maintaining a high powered sensor suite, increasing its sensor strength by %s%%, this vessels considerable sensor noise and relatively poor engine shielding increase it’s signature by %s%%.","Increases sensor range, but also increases visibility.",graphics/shi/hullmods/ms_sciShip.png
Phase Anchor Interface,ms_anchorField,1,,Shadowyards,special,,,,TRUE,,0,0,0,0,data.hullmods.MS_anchorField,"Purportedly based on rejected Domain prototypes, phase anchors produce visible anomalies in realspace; nevertheless, at sufficient range they can produce some confusion in sensor readings, reducing sensor profile by %s%% .",Slightly reduces ship signature.,graphics/shi/hullmods/ms_pai.png
Redwings Upgrade Package,ms_redwingsPackage,1,,Shadowyards,"special, defensive",,,,TRUE,,0,0,0,0,data.hullmods.MS_redwingsPackage,"A set of comprehensive systems upgrades which, while individually marginal and quite expensive, collectively improve shield or phase efficiency by %s%% and increase weapon damage by %s%% .",Improves shield efficiency and weapon damage.,graphics/shi/hullmods/ms_redwingsPackage.png
Wolfpack Systems,ms_wolfPack,1,,Pirates,special,,,,TRUE,,0,0,0,0,data.hullmods.MS_wolfPack,A heavily customized computer networking system that increase the Rate of Fire for Ballistic and Energy weapons by %s%% and damage of Beam and Missile weapons by %s%% for every ship within range that possesses this hullmod.,Improves all weapons based on proximity to other ships with this mod.,graphics/shi/hullmods/ms_wolfPack.png
,,,,,,,,,,,,,,,,,,
League Refit,ms_leagueRefit,1,,,special,,,,TRUE,,0,0,0,0,data.hullmods.MS_leagueRefit,"A comprehensive refit has been applied to this craft to bring it more in line with Persean League doctrine; while this has had the effect of reducing maximum flux by %s, dissipation by %s, and speed by %s, ship armor has been increased by %s and hull durability by %s.",Mid-tech hull mod and up-armoring for Persean League.,graphics/shi/hullmods/ms_civCon1.png
,,,,,,,,,,,,,,,,,,
Cramped Deck,ms_stupidCarrier,1,,Pirates,special,,,,TRUE,,0,0,0,0,data.hullmods.MS_stupidCarrier,"While this vessel can launch fighters, one must wonder if it really should; the incredibly cramped conditions of this ships flight deck make deck operations take %s percent longer than they should.",Incredibly hare-brained frigate carrier conversion.,graphics/shi/hullmods/ms_stupidCarrier.png
,,,,,,,,,,,,,,,,,,
Flux Lock Armor,ms_fluxLock,3,2,Shadowyards,defensive,,5000,,FALSE,,10,18,25,45,data.hullmods.MS_fluxLockArmor,"Specialized defensive armor system, reduces damage taken while venting. The amount is dependent on the ships accumulated flux compared to it’s maximum prior to venting on a curve that approaches %s/%s/%s/%s-percent depending on hull size. This gain falls off sharply after approximately 60%% flux.",Reduces damage taken while venting based on flux level.,graphics/shi/hullmods/ms_fluxLock.png
Charge Cycler,ms_chargeCycler,2,2,Shadowyards,special,,3000,,FALSE,,3,6,9,12,data.hullmods.MS_chargeCycler,"Fits energy weapon systems with small auxiliary generators, increasing the rate at which expended charges are regenerated by %s percent.",Increases charge recovery rate.,graphics/shi/hullmods/ms_cycler.png
,,,,,,,,,,,,,,,,,,
Skirmish Tactics,ms_skirmishTactics,,,Shadowyards,,,,FALSE,TRUE,,0,0,0,0,data.hullmods.MS_CCskirmishTactics,"With their origins as a militant guerilla organization, SRA tactical doctrine has developed to focus on maneuver warfare. A general vulnerability of such tactics to being cut off from support has played a significant role in crew training programs, which center on exploiting their vessels generally superior maneuvering characteristics.

This specialised education results in Yardie spacers being deft hands at maneuvering even the most ungainly scows, increasing turn rate by %s%% and turn acceleration by %s%%.",Improves turn speed and turn acceleration.,graphics/shi/hullmods/ms_elySensors.png
