id,type,text1,text2,text3,notes
ms_charybdis,SHIP,"Swift and possessed of a large weapons battery for her class, the Charybdis-class Strike Carrier is capable of fielding large numbers of fighter craft while fighting back with surprising ferocity.

Her combat capability and fighter capacity allow the Charybdis to operate relatively independently of other combat ships; the class is generally regarded as being close to self reliant, though her fuel capacity and cargo stores are insufficient for prolonged action without logistics support.  The Charybdis suffered from severely conflicting development goals, however, and her design is marred by a number of potentially fatal compromises.

Her carrier capabilities and strong offensive abilities have come at the cost of having a worryingly thin armor belt, and her hull is markedly fragile for her mass.  Her point defense coverage is merely adequate for her class, though this can be made up for with her fighters providing cover.  While the vessels flux capacity is good, and her shield systems are reasonably strong, her capacitors are bulky and have trouble adjusting to combat loads in an efficient manner.  Adding to all this is the ships great cost, in large part due to the twin 'Novalith' reactors needed to efficiently power the ship and her engines.

The SRA is somewhat cautious about sharing hulls of this class with privateers and independent operators, and as such the Charybdis is only rarely seen outside of Shadowyards battlegroups, and is most commonly used otherwise by unusually successful Mercenary captains.",,,
ms_morningstar,SHIP,"The Morningstar is considered the backbone of SRA patrol formations, as it is inexpensive to maintain while still offering a reasonable punch; a solid array of energy mounts, two small missile hardpoints and a small fighter bay allow it face a wide variety of battlefield threats.

The ship is named for her highly distinctive sensor system, the crown of spines circling her prow.  These sensors provide highly accurate combat telemetry and detection, though they are not noteworthy outside of combat scenarios.  Some efforts have been made to upgrade these sensors to allow for more generalist mission parameters, but the Morningstars internal hull volume has proved insufficient.

While lacking redundancy, the ships unusual extended drive system provides good speed, and is remarkably fuel efficient.  An array of potent thrusters, combined with the ships length, offer excellent agility for her size.  Her shields, while not a straight up match for the Medusa, are paired with one of the best flux dissipation systems in the sector, giving her good battlefield longevity.  Unfortunately, however, like most SRA. vessels her advantages come at the cost of a middling armor belt and fragile hull.",,,
ms_enlil,SHIP,"The Enlil is a versatile multi-role frigate, noted as being particularly reliable with good loiter time. With a pair of synergy hardpoints these vessels are able to fit nearly any mission role, while two small energy hardpoints provide rearward defense.

Comparatively more sturdily built than most SRA offerings, the vessel is of only modest speed for her size.  Despite this she is quite maneuverable and capable bringing her formidable forward armament to bear on most targets fairly easily.  While her frontal weaponry lends itself to an attack role, this frigate is often fitted in a bewildering variety of fashions to serve as a ‘Jack-of-All-Trades’ frigate; while rarely as good as whatever vessel she is emulating her flexability allows her to fill holes in the battle line quite neatly.",,,
ms_seski,SHIP,"Designed with speed in mind, the Seski class corvette is among the fastest ships in the sector.  Intended for use as a fast courier or blockade runner, vessels of this class are also put to use as a fast picket.

The Seski relies almost entirely upon her speed and maneuverability to survive battle; her armor is practically nonexistant and her shield array lacks the bredth to defend her from concentrated assault, and her small size has limited the amount of capacitors she can carry.  While decently armed for her diminuitive size she is not expected to be able to take on a combat frigate in a slugging match.",,,
ms_shamash,SHIP,"Sleek and deadly, the Shamash has, in large part due to her efficient and highly aggressive weapons layout, built up a formidable reputation as a hunter/killer frigate.

Her phase cloak system, while significantly less efficient than those of the Domain, is far less costly to activate, and represents a significant improvement over her earlier sister, the Enthalpy experimental phase destroyer. In order to aid her in her role as a hunter, the Shamash is fitted with a coaxial REIS system, which in skillful hands can leave even far larger ships at the mercy of this deadly craft.

For those willing to entertain a somewhat more aggressive hunting style, this ship brings a formidable advantage, always playing on the knifes edge, phasing in and out to avoid and deliver critical harm.",,,
ms_inanna,SHIP,"Sometimes referred to as the 'Left Hook,' the Inanna is the oldest vessel of Shadowyards manufacture still in common use by the SRA.

Despite what many agree is a somewhat flawed concept, the vessel has been the recipient of an aggressive upgrade program, leaving it far in advance of other Shadowyards designs of comparable age. As a result the Inanna is, on paper at least, one of the more deadly small craft in the sector.

Though her highly unusual design means she is quite difficult to use, her heavy firepower and output increasing mechanisms have nevertheless granted her a rather exaggerated reputation as a 'giant killer.'",,,
ms_sargasso,SHIP,"The Sargasso is one of the more effective small carriers in the Sector, providing a combination of speed and hangar space in an economical package.

The Sargassos most notable feature is her 'moon pool,' the open area encased by the ships hull which acts as the vessels hangar area.

While highly innovative, the design itself was plagued by problems early in the vessels career, as the far less predictable nature and more complicated docking arrangements confounded normal deck procedures; after several fatal accidents, Shadowyards engineers resorted to a line of dedicated beta level personality constructs specially made to handle the pool.  While this solved the crashes, an unexpected emergent behavior arose; instances where the constructs started relaying combat information to pilots assigned to the ship.

While unintended, the resultant boost of combat efficiency in fighter craft has seen the class refitted with systems specifically to boost the quality of this interference.  A side effect is that, among flight crews, vessels of this class are known not by their official designation, but rather by their cantankerous AI flight controllers.",,,
ms_elysium,SHIP,"A swift and efficient light cruiser, the Elysium was designed to house the Pandora array, at the time a modular, high powered sensor system, which has over time mutated into its main armament.

The Pandora is a powerful, if slow firing weapon, augmented by the potent starboard broadside Elysium possesses. However, despite this extraordinary weapons system, the vessel's defenses are lightweight and she has considerable difficulty standing against heavier cruisers. Nevertheless, she is an excellent commerce raider and fast attack ship, a role augmented by her Remote Engine Inhibitor System, and is often used as the command ship for Shadowyards destroyer groups.",,,
ms_elysium_P,SHIP,"This ship has been heavily modified by its pirate crew, stripping out much of the difficult to maintain sensor equipment and energy damanding main weapon, and replacing it with heavy ballistic firepower.

A swift and efficient light cruiser, the Elysium was designed to house the Pandora array, at the time a modular, high powered sensor system, which has over time mutated into its main armament.

The Pandora is a powerful, if slow firing weapon, augmented by the potent starboard broadside Elysium possesses. However, despite this extraordinary weapons system, the vessel's defenses are lightweight and she has considerable difficulty standing against heavier cruisers. Nevertheless, she is an excellent commerce raider and fast attack ship, a role augmented by her Remote Engine Inhibitor System, and is often used as the command ship for Shadowyards destroyer groups.",,,
ms_tartarus,SHIP,"The Tartarus is Shadowyards Heavy Industries preferred ship of the line, intended to be the Anvil to the hammer of other, faster moving Shadowyards vessels.

One of their older designs, the Tartarus is far from the most heavily armed cruiser available, but is noted for being quite sturdy, particularly by the SRA's standards.  Her hull is thick and amply armored and her shielding systems are both resilient and efficient.  Beyond this, her flux capacity gives her a significant reserve of defensive and offensive power.

Equipped with a trio bow mounted Synergy hardpoints, the vessel is a flexible combatant and with her Siege defense systems can present a thorny proposition at considerable range.",,,
